"genenames","PFAM"
"MA-10001558g0010",NA
"MA-10002g0020","PF10607-CTLH/CRA C-terminal to LisH motif domain;PF13445-RING-type zinc-finger"
"MA-10004132g0010","PF03061-Thioesterase superfamily"
"MA-10008g0010","PF03657-UPF0113 PUA domain"
"MA-100135g0010",NA
"MA-10013593g0010",NA
"MA-10014137g0010","PF00171-Aldehyde dehydrogenase family"
"MA-10014834g0010",NA
"MA-100150g0010","PF05910-Plant protein of unknown function (DUF868)"
"MA-10018366g0010",NA
"MA-10019946g0010","PF00647-Elongation factor 1 gamma, conserved domain;PF00043-Glutathione S-transferase, C-terminal domain;PF02798-Glutathione S-transferase, N-terminal domain"
"MA-10020g0010","PF01357-Pollen allergen;PF03330-Lytic transglycolase"
"MA-100213g0010",NA
"MA-10021649g0010",NA
"MA-100230g0010",NA
"MA-10025084g0010","PF13855-Leucine rich repeat"
"MA-10029522g0010",NA
"MA-100296g0010","PF00335-Tetraspanin family"
"MA-10029973g0010","PF00789-UBX domain"
"MA-100300g0010","PF16211-C-terminus of histone H2A;PF00125-Core histone H2A/H2B/H3/H4"
"MA-10034g0010",NA
"MA-100348g0010","PF00240-Ubiquitin family;PF00632-HECT-domain (ubiquitin-transferase)"
"MA-10035305g0010","PF00227-Proteasome subunit"
"MA-100379g0010",NA
"MA-100380g0010","PF05804-Kinesin-associated protein (KAP);PF04564-U-box domain"
"MA-100396g0010",NA
"MA-10043134g0010","PF09325-Vps5 C terminal like"
"MA-10043209g0010",NA
"MA-10043564g0010","PF00071-Ras family"
"MA-10044231g0010","PF00366-Ribosomal protein S17"
"MA-10046g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-10046054g0010",NA
"MA-100474g0010","PF00173-Cytochrome b5-like Heme/Steroid binding domain"
"MA-10048172g0010","PF00931-NB-ARC domain;PF01582-TIR domain"
"MA-10048467g0010","PF00249-Myb-like DNA-binding domain;PF00249-Myb-like DNA-binding domain"
"MA-10048594g0010","PF03141-Putative S-adenosyl-L-methionine-dependent methyltransferase"
"MA-100508g0010",NA
"MA-10050955g0010","PF03639-Glycosyl hydrolase family 81 N-terminal domain;PF17652-Glycosyl hydrolase family 81 C-terminal domain"
"MA-10052810g0010",NA
"MA-100529g0010",NA
"MA-10054925g0010","PF04379-ApaG domain"
"MA-10056684g0010","PF07767-Nop53 (60S ribosomal biogenesis)"
"MA-100568g0010","PF03141-Putative S-adenosyl-L-methionine-dependent methyltransferase"
"MA-10058549g0010","PF00504-Chlorophyll A-B binding protein"
"MA-10061796g0010","PF00305-Lipoxygenase"
"MA-100637g0010","PF13812-Pentatricopeptide repeat domain;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat"
"MA-10064529g0010","PF03083-Sugar efflux transporter for intercellular exchange;PF03083-Sugar efflux transporter for intercellular exchange"
"MA-10064935g0010",NA
"MA-100662g0010",NA
"MA-100669g0010",NA
"MA-10067279g0010","PF00004-ATPase family associated with various cellular activities (AAA)"
"MA-10067338g0010",NA
"MA-10068g0010","PF12734-Cysteine-rich TM module stress tolerance"
"MA-10069449g0010","PF14368-Probable lipid transfer"
"MA-10071632g0010","PF00240-Ubiquitin family"
"MA-100722g0010","PF01758-Sodium Bile acid symporter family"
"MA-100734g0010",NA
"MA-10073433g0010",NA
"MA-10074020g0010",NA
"MA-10076142g0010","PF00168-C2 domain"
"MA-100776g0010","PF00118-TCP-1/cpn60 chaperonin family"
"MA-10078g0010","PF04791-LMBR1-like membrane protein"
"MA-1008030g0010",NA
"MA-100820g0010","PF00560-Leucine Rich Repeat;PF00560-Leucine Rich Repeat;PF08263-Leucine rich repeat N-terminal domain"
"MA-100845g0010",NA
"MA-10085137g0010","PF00378-Enoyl-CoA hydratase/isomerase"
"MA-10085364g0010","PF00202-Aminotransferase class-III"
"MA-10090g0010","PF08267-Cobalamin-independent synthase, N-terminal domain;PF01717-Cobalamin-independent synthase, Catalytic domain;PF01717-Cobalamin-independent synthase, Catalytic domain"
"MA-10090427g0010","PF02507-Photosystem I reaction centre subunit III"
"MA-100910g0020","PF01241-Photosystem I psaG / psaK"
"MA-10091679g0010","PF01585-G-patch domain"
"MA-10092g0010","PF00069-Protein kinase domain;PF03822-NAF domain"
"MA-100933g0010","PF03097-BRO1-like domain"
"MA-100950g0010",NA
"MA-10097541g0010",NA
"MA-100977g0010",NA
"MA-10097865g0010","PF00498-FHA domain"
"MA-100988g0020",NA
"MA-101037g0010","PF00641-Zn-finger in Ran binding protein and others;PF00641-Zn-finger in Ran binding protein and others;PF00641-Zn-finger in Ran binding protein and others"
"MA-101038g0020","PF13181-Tetratricopeptide repeat"
"MA-101067g0010","PF00274-Fructose-bisphosphate aldolase class-I"
"MA-10106734g0010",NA
"MA-10106735g0010","PF03171-2OG-Fe(II) oxygenase superfamily"
"MA-10108167g0010","PF05633-Protein BYPASS1-related"
"MA-101085g0010","PF00025-ADP-ribosylation factor family"
"MA-10109222g0010","PF12352-Snare region anchored in the vesicle membrane C-terminus"
"MA-101097g0010","PF02152-Dihydroneopterin aldolase"
"MA-10110465g0010",NA
"MA-101119g0010","PF00026-Eukaryotic aspartyl protease;PF03489-Saposin-like type B, region 2;PF05184-Saposin-like type B, region 1"
"MA-10113039g0010","PF01569-PAP2 superfamily"
"MA-101135g0010","PF03106-WRKY DNA -binding domain"
"MA-101160g0010",NA
"MA-10117g0040",NA
"MA-10117092g0010",NA
"MA-10117352g0010",NA
"MA-10117499g0010","PF04720-PDDEXK-like family of unknown function"
"MA-10118613g0010","PF01168-Alanine racemase, N-terminal domain"
"MA-10118625g0010","PF00069-Protein kinase domain"
"MA-101187g0010","PF00226-DnaJ domain;PF11926-Domain of unknown function (DUF3444)"
"MA-10119331g0010",NA
"MA-10120262g0010","PF13920-Zinc finger, C3HC4 type (RING finger)"
"MA-10122110g0010",NA
"MA-10122668g0010",NA
"MA-10123473g0010","PF00366-Ribosomal protein S17"
"MA-10126g0010","PF14309-Domain of unknown function (DUF4378);PF14383-DUF761-associated sequence motif"
"MA-101288g0010",NA
"MA-101292g0010","PF15996-Arginine/serine-rich protein PNISR"
"MA-10130047g0010",NA
"MA-10130590g0010",NA
"MA-10132762g0010",NA
"MA-10135677g0010","PF02887-Pyruvate kinase, alpha/beta domain"
"MA-10135775g0010",NA
"MA-101370g0010",NA
"MA-101371g0010","PF14559-Tetratricopeptide repeat;PF00254-FKBP-type peptidyl-prolyl cis-trans isomerase;PF00254-FKBP-type peptidyl-prolyl cis-trans isomerase;PF00254-FKBP-type peptidyl-prolyl cis-trans isomerase"
"MA-10137628g0010",NA
"MA-10137667g0010",NA
"MA-10138732g0010","PF00179-Ubiquitin-conjugating enzyme"
"MA-101402g0010","PF13848-Thioredoxin-like domain;PF00085-Thioredoxin"
"MA-101405g0010","PF14543-Xylanase inhibitor N-terminal;PF14541-Xylanase inhibitor C-terminal"
"MA-10141632g0010","PF00533-BRCA1 C Terminus (BRCT) domain"
"MA-10142206g0010","PF00582-Universal stress protein family"
"MA-10142568g0010",NA
"MA-10143842g0010","PF00227-Proteasome subunit"
"MA-10144111g0010",NA
"MA-101443g0010",NA
"MA-10145237g0010","PF09369-Domain of unknown function (DUF1998)"
"MA-101453g0010",NA
"MA-101456g0010","PF04427-Brix domain"
"MA-101463g0010","PF00319-SRF-type transcription factor (DNA-binding and dimerisation domain)"
"MA-101469g0010",NA
"MA-101469g0020",NA
"MA-10148174g0010","PF14541-Xylanase inhibitor C-terminal;PF14543-Xylanase inhibitor N-terminal"
"MA-10148419g0010","PF00171-Aldehyde dehydrogenase family"
"MA-10152247g0010","PF00035-Double-stranded RNA binding motif;PF00035-Double-stranded RNA binding motif"
"MA-10153396g0010",NA
"MA-101534g0010","PF00307-Calponin homology (CH) domain;PF16796-Microtubule binding"
"MA-10153966g0010","PF04749-PLAC8 family"
"MA-10156g0010",NA
"MA-10158783g0010",NA
"MA-10159381g0010",NA
"MA-10159883g0010","PF07990-Nucleic acid binding protein NABP;PF00806-Pumilio-family RNA binding repeat;PF00806-Pumilio-family RNA binding repeat;PF00806-Pumilio-family RNA binding repeat;PF00806-Pumilio-family RNA binding repeat;PF00806-Pumilio-family RNA binding repeat"
"MA-101601g0010",NA
"MA-10160983g0010",NA
"MA-10161g0010","PF01546-Peptidase family M20/M25/M40;PF07687-Peptidase dimerisation domain"
"MA-10161075g0010","PF03094-Mlo family"
"MA-101621g0020","PF18117-Enhanced disease susceptibility 1 protein EP domain;PF01764-Lipase (class 3)"
"MA-10162923g0010",NA
"MA-10163020g0010","PF03446-NAD binding domain of 6-phosphogluconate dehydrogenase;PF00393-6-phosphogluconate dehydrogenase, C-terminal domain"
"MA-10163543g0010",NA
"MA-101646g0010","PF01293-Phosphoenolpyruvate carboxykinase;PF01293-Phosphoenolpyruvate carboxykinase"
"MA-10165689g0010","PF00194-Eukaryotic-type carbonic anhydrase"
"MA-101658g0010","PF13193-AMP-binding enzyme C-terminal domain;PF00501-AMP-binding enzyme;PF00501-AMP-binding enzyme"
"MA-10165844g0010","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-101663g0010","PF10215-Oligosaccaryltransferase"
"MA-101664g0010","PF00290-Tryptophan synthase alpha chain"
"MA-10167208g0010",NA
"MA-10167865g0010",NA
"MA-10168001g0010","PF06955-Xyloglucan endo-transglycosylase (XET) C-terminus;PF00722-Glycosyl hydrolases family 16"
"MA-101681g0010",NA
"MA-10168585g0010",NA
"MA-10171241g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-10171355g0010","PF04777-Erv1 / Alr family"
"MA-10171712g0010",NA
"MA-10171844g0010","PF00855-PWWP domain"
"MA-10173310g0010",NA
"MA-10174633g0010",NA
"MA-10176172g0010",NA
"MA-101766g0010","PF02953-Tim10/DDP family zinc finger"
"MA-10177682g0010","PF01885-RNA 2'-phosphotransferase, Tpt1 / KptA family"
"MA-101777g0010",NA
"MA-101786g0010","PF00225-Kinesin motor domain"
"MA-10179679g0010","PF04832-SOUL heme-binding protein"
"MA-101835g0010","PF00403-Heavy-metal-associated domain"
"MA-10184136g0010",NA
"MA-10184397g0010",NA
"MA-10184802g0010",NA
"MA-10184926g0010","PF00005-ABC transporter"
"MA-10185385g0010","PF03169-OPT oligopeptide transporter protein"
"MA-101861g0010",NA
"MA-10188586g0010",NA
"MA-10189121g0010",NA
"MA-10189662g0010",NA
"MA-10191747g0010","PF00202-Aminotransferase class-III;PF00202-Aminotransferase class-III"
"MA-10191900g0010",NA
"MA-10192333g0010",NA
"MA-101924g0020","PF00071-Ras family"
"MA-101927g0010",NA
"MA-10192750g0010",NA
"MA-10193025g0010","PF10283-PBZ domain"
"MA-101933g0010",NA
"MA-10194g0020","PF00069-Protein kinase domain"
"MA-101944g0010",NA
"MA-10194688g0010",NA
"MA-10195410g0010","PF00102-Protein-tyrosine phosphatase"
"MA-10196316g0010","PF13943-WPP domain"
"MA-101964g0010","PF00012-Hsp70 protein"
"MA-10197113g0010",NA
"MA-10197194g0010","PF00855-PWWP domain"
"MA-101972g0010","PF04770-ZF-HD protein dimerisation region"
"MA-10197498g0010","PF00578-AhpC/TSA family"
"MA-10198808g0010",NA
"MA-101990g0010","PF02020-eIF4-gamma/eIF5/eIF2-epsilon;PF01873-Domain found in IF2B/IF5"
"MA-102003g0020",NA
"MA-10201g0010","PF01248-Ribosomal protein L7Ae/L30e/S12e/Gadd45 family"
"MA-10203758g0010",NA
"MA-10204459g0010","PF13499-EF-hand domain pair;PF13202-EF hand"
"MA-10205012g0010","PF00168-C2 domain"
"MA-102054g0010","PF07765-KIP1-like protein"
"MA-102057g0010","PF00155-Aminotransferase class I and II"
"MA-10205704g0010","PF00025-ADP-ribosylation factor family"
"MA-102060g0010","PF03552-Cellulose synthase"
"MA-10206328g0010","PF01200-Ribosomal protein S28e"
"MA-10206860g0010",NA
"MA-10208488g0010",NA
"MA-102091g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF00098-Zinc knuckle;PF00098-Zinc knuckle"
"MA-10209801g0010",NA
"MA-102106g0010","PF07714-Protein tyrosine kinase"
"MA-10211472g0010","PF09763-Exocyst complex component Sec3"
"MA-10211905g0010","PF02536-mTERF"
"MA-10212g0010",NA
"MA-102122g0010",NA
"MA-10212234g0010",NA
"MA-102140g0010","PF00202-Aminotransferase class-III"
"MA-102149g0010","PF02780-Transketolase, C-terminal domain;PF02779-Transketolase, pyrimidine binding domain;PF00456-Transketolase, thiamine diphosphate binding domain"
"MA-10215545g0010",NA
"MA-10215954g0010",NA
"MA-102166g0020","PF00815-Histidinol dehydrogenase"
"MA-10217369g0010","PF01753-MYND finger"
"MA-102175g0010","PF14108-Domain of unknown function (DUF4281)"
"MA-10218559g0010",NA
"MA-10220g0010",NA
"MA-10220333g0010","PF13710-ACT domain;PF10369-Small subunit of acetolactate synthase"
"MA-10221600g0010","PF08590-Domain of unknown function (DUF1771)"
"MA-102223g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-10222942g0010",NA
"MA-10224204g0010",NA
"MA-10225438g0010",NA
"MA-1022588g0010",NA
"MA-10227813g0010",NA
"MA-102279g0010","PF04153-NOT2 / NOT3 / NOT5 family"
"MA-102288g0010",NA
"MA-1023g0010","PF04950-40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal"
"MA-102307g0010",NA
"MA-102312g0010",NA
"MA-10231244g0010",NA
"MA-10231744g0010",NA
"MA-10232475g0010",NA
"MA-102329g0010",NA
"MA-102330g0020",NA
"MA-10234164g0010",NA
"MA-10234841g0010",NA
"MA-102349g0010","PF14310-Fibronectin type III-like domain;PF00933-Glycosyl hydrolase family 3 N terminal domain;PF01915-Glycosyl hydrolase family 3 C-terminal domain"
"MA-10239556g0010",NA
"MA-10239665g0010","PF00101-Ribulose bisphosphate carboxylase, small chain"
"MA-102427g0010","PF00085-Thioredoxin"
"MA-102433g0010","PF01280-Ribosomal protein L19e"
"MA-10243517g0010",NA
"MA-102436g0010",NA
"MA-10243652g0010","PF01239-Protein prenyltransferase alpha subunit repeat;PF01239-Protein prenyltransferase alpha subunit repeat"
"MA-10244403g0010",NA
"MA-102457g0010","PF00538-linker histone H1 and H5 family"
"MA-10246938g0010",NA
"MA-10249055g0010","PF00249-Myb-like DNA-binding domain;PF00249-Myb-like DNA-binding domain"
"MA-10249530g0010","PF03931-Skp1 family, tetramerisation domain;PF01466-Skp1 family, dimerisation domain"
"MA-10251013g0010","PF06955-Xyloglucan endo-transglycosylase (XET) C-terminus;PF00722-Glycosyl hydrolases family 16"
"MA-10251285g0010",NA
"MA-10253368g0010","PF01593-Flavin containing amine oxidoreductase"
"MA-10253568g0010","PF05768-Glutaredoxin-like domain (DUF836)"
